"endTime","artistName","trackName","msPlayed"
"2022-05-14 03:12","Catupecu Machu","A Veces Vuelvo - Acustico",2065
"2022-05-14 03:12","Mercedes Sosa","Zona de Promesas (with Gustavo Cerati)",1573
"2022-05-14 03:12","Bersuit Vergarabat","Madre Hay Una Sola",86
"2022-05-14 03:16","León Gieco","Un Minuto",0
"2022-05-14 03:16","Los Piojos","Todo Pasa",13
"2022-05-14 03:16","Ciro y los Persas","Canción de Cuna - Después - Ferro 2014 en Vivo",558
"2022-05-14 03:16","Bersuit Vergarabat","Va Por Chapultepec",238000
"2022-05-14 03:16","Catupecu Machu","En Los Sueños",1146
"2022-05-14 03:16","Gustavo Cordera","Ansiedad De Buscar",1650
"2022-05-14 03:16","Attaque 77","La Colina de la Vida",3978
"2022-05-14 03:16","Pappo's Blues","Desconfío",740
"2022-05-14 03:16","Guasones","Flores Negras",1241
"2022-05-14 03:16","Bersuit Vergarabat","Vuelos",1240
"2022-05-14 03:16","Kapanga","No Me Sueltes (Es Posible)",914
"2022-05-14 03:16","Las Pastillas del Abuelo","Amar y Envejecer",100
"2022-05-14 03:22","Guasones","Días",0
"2022-05-14 03:22","Viejas Locas","Balada Para Otra Mujer",2266
"2022-05-14 03:22","Gustavo Cordera","Agua de Río - En Vivo",0
"2022-05-14 03:22","Los Piojos","Y Quemás",0
"2022-05-14 03:22","Estelares","El Corazon Sobre Todo",30
"2022-05-14 03:22","Bersuit Vergarabat","La Calavera",342727
"2022-05-14 03:24","Kevin Johansen","Desde Que Te Perdí",116623
"2022-05-14 03:26","Bersuit Vergarabat","Inundación",97280
"2022-05-17 11:54","Nuestro Día","Nuestra agenda del viernes 13 de mayo ",1467600
"2022-05-17 14:29","Nuestro Día","Nuestra agenda del viernes 13 de mayo ",98525
"2022-05-17 14:36","Nuestro Día","Pánico por el Mantecol Gate ",449121
"2022-05-17 15:20","Nuestro Día","¿Cómo hace erupción un volcán en la Antártida?",1537619
"2022-05-17 15:51","Nuestro Día","Notinarcos: el fiscal asesinado en Colombia",1423464
"2022-05-17 16:17","Nuestro Día","Tinelli vuelve, Valdés no",941468
"2022-05-18 11:01","La contrà","Entre tú y mil mares",227835
"2022-05-18 11:04","La Contra","No Me Enseñaste",182185
"2022-05-18 11:06","Dalila","Te Perdoné Tantas Veces",143813
"2022-05-18 11:10","Los Cadiz","Antes",213838
"2022-05-18 11:13","Mario Pereyra y Su Banda","Nada",186435
"2022-05-18 11:17","Sergio Torres","Me Dediqué a Perderte",275808
"2022-05-18 11:21","Daniel Agostini","Amame",215389
"2022-05-18 11:24","La Contra","Adicto a Tu Piel",199399
"2022-05-18 11:25","Dalila","Dejémoslo Así",56161
"2022-05-18 11:28","Los del Fuego","Donde Estas Corazón",176565
